date,15.txt,16.txt,17.txt,22.txt,23.txt,50.txt,8.txt,1030430_Compiled_0.csv
2020-10-16,,,,,0.63,,,0.63
2020-10-17,0.62,,,,,,,0.62
2020-10-20,,0.45,,,,,,0.45
2020-10-29,,,0.12,,,,,0.12
2020-10-31,,,,,0.27,,,0.27
2020-11-07,,0.07,,,,,,0.07
2020-11-08,,0.12,0.11,,0.12,,,0.35
2020-11-15,,,0.17,,,,,0.17
2020-11-17,,,0.11,,,,,0.11
2020-11-30,,,,,0.1,,,0.1
2020-12-02,0.09,,,,,,,0.09
2020-12-07,,,0.09,,,,,0.09
2020-12-09,0.03,0.03,0.03,,0.03,,,0.12
2020-12-10,0.1,0.1,0.1,,0.1,,,0.4
2020-12-26,,,,,0.06,,,0.06
2020-12-28,,0.03,,,,,,0.03
2021-01-08,0.03,,0.03,,0.06,,,0.12
2021-01-09,0.03,,,,,,,0.03
2021-01-11,0.06,,,,,,,0.06
2021-01-12,,0.06,,,,,,0.06
2021-01-15,,,,,,1.47,,1.47
2021-01-19,,,0.05,,,,,0.05
2021-01-23,,,,,0.03,,,0.03
2021-01-25,0.03,,,,0.03,,,0.06
2021-01-27,,,0.03,,0.04,,,0.07
2021-02-02,0.05,,0.03,,0.03,,,0.11
2021-02-03,0.05,,,,,,,0.05
2021-02-08,0.08,,,,,,0.56,0.64
2021-02-19,,0.03,,,0.04,,,0.07
2021-02-20,,,0.03,,,,,0.03
2021-02-21,,0.03,0.03,,,,,0.06
2021-02-23,0.03,0.03,,,0.03,,,0.09
2021-02-25,0.08,,,,,,,0.08
2021-03-07,,,,,0.04,,,0.04
2021-03-14,,0.07,,,0.05,,,0.12000000000000001
2021-03-15,,,0.07,,,,,0.07
2021-03-16,,,,,0.07,,,0.07
2021-03-25,,,0.03,,0.03,,,0.06
2021-03-26,,,,0.03,,,,0.03
