date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,1086410_Compiled_0.csv
2020-01-09,0.79,,,,,,,0.79
2020-01-10,0.19,,,,,,,0.19
2020-01-23,,,1.76,,,,,1.76
2020-02-02,,0.11,,,,,,0.11
2020-02-08,,,,0.03,,,,0.03
2020-02-09,,0.08,,0.06,,,,0.14
2020-02-11,0.04,,,,,,,0.04
2020-02-14,,,,0.03,,,,0.03
2020-02-15,0.03,0.03,0.03,,0.03,,,0.12
2020-02-18,0.14,,,,0.05,0.13,,0.32
2020-02-19,0.06,,,,0.24,,,0.3
2020-02-24,,0.03,,,,,,0.03
2020-02-26,,,,,0.44,,,0.44
2020-02-28,,,,,0.21,,,0.21
2020-03-06,,,,,0.21,,,0.21
2020-03-10,,,,0.23,0.92,,,1.1500000000000001
2020-03-12,0.06,,,,1.11,,,1.1700000000000002
2020-03-13,,,,,0.22,,,0.22
2020-03-14,,,,,0.09,,,0.09
2020-03-16,0.09,,0.06,,0.03,,,0.18
2020-03-17,,,0.05,,,,,0.05
2020-03-18,,,,,0.07,,,0.07
2020-03-19,,,,0.04,,,,0.04
2020-03-20,,,,,0.53,,,0.53
2020-03-25,,,,,0.07,,,0.07
2020-03-26,,0.03,,,,,,0.03
2020-03-27,0.03,,,0.03,,,,0.06
2020-03-30,0.03,0.09,0.03,,,,,0.15
2020-04-03,,,0.03,,0.04,,,0.07
2020-04-04,,,,,0.26,,,0.26
2020-04-05,0.07,0.06,0.04,,,,,0.17
2020-04-06,0.1,0.1,0.06,0.09,0.34,,,0.69
2020-04-07,0.2,0.24,0.11,,0.25,,,0.8
2020-04-08,,,0.06,,0.38,0.03,,0.47
2020-04-09,0.04,,,,0.08,,,0.12
2020-04-10,0.07,,0.09,0.1,0.28,,,0.54
2020-04-11,0.18,0.2,,,0.19,,,0.5700000000000001
2020-04-14,0.06,0.03,,,,,,0.09
2020-04-16,,,,,0.04,,,0.04
2020-04-17,,,,0.06,0.1,,,0.16
2020-04-19,,,,,0.11,,,0.11
2020-04-20,,,,,0.03,,,0.03
2020-04-21,0.06,,,,,,,0.06
2020-04-23,,,,,0.13,,,0.13
2020-04-24,,,,,0.26,,,0.26
2020-04-25,0.03,,,,,,,0.03
2020-04-26,,,0.03,,,,,0.03
2020-04-27,,,,,0.09,,,0.09
2020-04-28,,0.03,,,,,,0.03
2020-04-30,,,0.06,,0.03,,,0.09
2020-05-02,0.18,,0.03,0.36,0.09,,,0.6599999999999999
2020-05-03,0.12,,0.21,,0.06,,,0.38999999999999996
2020-05-04,0.04,0.06,,,0.21,,,0.31
2020-05-06,,,,,0.06,,,0.06
2020-05-08,,,,,0.15,,,0.15
2020-05-09,0.06,,0.06,0.09,0.19,,,0.4
2020-05-10,,,,,0.05,,,0.05
2020-05-13,,0.06,,,0.06,,,0.12
2020-05-14,0.18,0.18,0.24,,0.25,,,0.85
2020-05-15,,0.07,,,0.12,,,0.19
2020-05-17,,,,,0.1,,,0.1
2020-05-18,,,,,0.12,,,0.12
2020-05-21,,,,,0.13,,,0.13
2020-05-22,0.03,,,,0.19,,,0.22
2020-05-24,0.15,0.15,0.06,0.06,0.18,,,0.6
2020-05-25,,,,,0.14,,,0.14
2020-05-27,0.12,,0.15,0.06,0.06,,,0.39
2020-05-28,,,,,0.08,,,0.08
2020-05-29,0.09,,,,0.09,,,0.18
2020-05-30,0.06,0.04,,0.09,0.06,,,0.25
2020-05-31,,,,,0.16,,,0.16
2020-06-01,0.06,,0.54,,0.07,,,0.6700000000000002
2020-06-03,,0.12,,,0.11,,,0.22999999999999998
2020-06-04,0.48,,,0.15,0.2,,,0.8300000000000001
2020-06-05,,,0.44,,,,,0.44
2020-06-06,,,,,0.09,,,0.09
2020-06-07,,,0.06,,0.24,,,0.3
2020-06-08,,,0.15,,0.17,,,0.32
2020-06-09,,0.06,,,0.28,,,0.34
2020-06-10,,,,0.21,0.14,,,0.35
2020-06-11,,,,,0.11,,,0.11
2020-06-14,,,,0.09,,,,0.09
2020-06-15,0.03,,,,,,,0.03
2020-06-19,,,0.06,,,,,0.06
2020-06-20,,,,0.09,,,,0.09
2020-06-23,0.06,,,,,,,0.06
2020-06-24,,,,,0.09,,,0.09
2020-06-27,,,,,0.15,,,0.15
2020-06-28,,,,,0.18,,,0.18
2020-07-01,0.03,,,,0.11,,,0.14
2020-07-02,,,,,0.06,,,0.06
2020-07-05,,,,,0.08,,,0.08
2020-07-11,0.09,,,,,,,0.09
2020-07-15,,,,0.06,,,,0.06
2020-07-16,,,0.06,,0.15,,,0.21
2020-07-18,,,,,,0.09,,0.09
2020-07-19,0.12,0.09,0.06,,0.13,0.05,,0.45
2020-07-21,,,0.15,,,0.12,,0.27
2020-07-22,,,,,,0.05,,0.05
2020-07-23,,0.3,,0.06,,,,0.36
2020-07-24,,,,0.04,,,,0.04
2020-07-25,,,,,0.06,,,0.06
2020-07-26,0.06,,,,0.13,0.21,,0.4
2020-07-27,,0.03,,0.15,,,,0.18
2020-07-28,,,,,,0.2,,0.2
2020-07-29,0.45,0.06,,,,,,0.51
2020-07-30,,,0.16,,0.09,,,0.25
2020-07-31,,,,,,0.14,,0.14
2020-08-01,,0.09,,0.11,0.27,0.4,,0.8700000000000001
2020-08-02,,,,,0.07,,,0.07
2020-08-03,0.15,0.12,0.12,,0.14,0.22,,0.75
2020-08-04,,0.14,,,,,,0.14
2020-08-07,,0.14,0.03,,0.1,,,0.27
2020-08-09,0.09,,0.16999999999999998,,,,,0.26
2020-08-12,,,,,,0.07,,0.07
2020-08-13,0.09,0.12,,,,0.12,,0.32999999999999996
2020-08-14,,,,0.1,,,,0.1
2020-08-15,0.06,,,,,,,0.06
2020-08-16,0.04,0.03,0.05,0.26,0.09,0.22000000000000006,,0.6900000000000001
2020-08-17,,,,0.30000000000000004,,0.12,,0.42000000000000004
2020-08-18,,,0.14,,0.06,,,0.2
2020-08-19,,,,,,0.24,,0.24
2020-08-22,0.06,0.06,,,,,,0.12
2020-08-24,,,0.09,,,,,0.09
2020-08-25,,,,,,0.44,,0.44
2020-08-26,,,0.03,0.03,,0.06,,0.12
2020-08-28,,,,,0.07,,,0.07
2020-08-29,,0.05,,,,,,0.05
2020-08-30,,,,,0.03,,,0.03
2020-09-06,,,,,,2.12,,2.12
2020-09-09,,,,,,0.16,,0.16
2020-09-10,,,,0.15,0.12,0.03,,0.30000000000000004
2020-09-13,,,,,,0.14,,0.14
2020-09-15,,,,,,0.18,,0.18
2020-09-17,,0.06,,0.07,0.16,0.06,,0.35000000000000003
2020-09-18,,,,,0.12,1.4900000000000002,,1.6100000000000003
2020-09-19,0.15,0.15,0.09,,0.06,,,0.45
2020-09-20,,,,,0.06,0.1,,0.16
2020-09-23,0.15,0.12,0.09,,0.24,,,0.6
2020-09-24,0.03,0.09,0.03,,,,,0.15
2020-09-25,,0.06,,,,,,0.06
2020-09-27,,,,0.06,,,,0.06
2020-09-28,,0.03,0.12,0.07,0.09,,,0.31
2020-09-29,,,0.06,0.1,,,,0.16
2020-09-30,,,0.06,,0.16,,,0.22
2020-10-07,,,,0.09,,,,0.09
2020-10-09,,,0.06,,,0.16,,0.22
2020-10-10,,0.09,,,,,,0.09
2020-10-12,,,,0.03,,,,0.03
2020-10-13,0.06,,0.06,0.03,0.13,0.16999999999999998,,0.45
2020-10-14,,0.06,,,0.12,,,0.18
2020-10-23,,,0.03,,,,,0.03
2020-10-26,0.12,0.09,0.12,0.06,0.09,,,0.48
2020-11-05,,,,0.06,,,,0.06
2020-11-08,,,,0.6,,,,0.6
2020-11-09,,,,,,0.29,,0.29
2020-11-10,0.69,,,,0.7999999999999999,0.25,,1.7399999999999998
2020-11-13,0.06,,,,,,,0.06
2020-11-14,,,,0.06,,,,0.06
2020-11-15,,0.06,,0.03,,,,0.09
2020-11-20,,,,0.06,,,,0.06
2020-11-21,,,,,0.03,,,0.03
2020-11-22,,,,,,,0.72,0.72
2020-11-23,,,,,0.3,,,0.3
2020-11-24,0.06,0.06,,,0.06,,,0.18
2020-11-25,0.12,0.06,,0.09,0.2,,,0.47000000000000003
2020-11-26,,,,,,0.11,,0.11
2020-11-28,,,,0.03,,0.48,,0.51
2020-11-29,,,,,0.77,0.12,0.7,1.5899999999999999
2020-11-30,,,,0.09,0.15,0.36,,0.6
2020-12-01,,,,,,0.4,,0.4
2020-12-02,,,,,,0.04,,0.04
2020-12-03,,,,,,0.08,,0.08
2020-12-08,0.09,,,,,0.03,,0.12
2020-12-09,0.06,0.09,0.12,,,,,0.27
2020-12-10,,0.09,0.06,,,,,0.15
2020-12-11,,,,0.06,,0.06,,0.12
2020-12-12,0.42,0.12,,,0.21,0.24,,0.99
2020-12-13,0.06,,0.06,,0.18,0.48,,0.78
2020-12-14,,,,,,0.03,,0.03
2020-12-15,0.12,,,,0.06,0.73,,0.9099999999999999
2020-12-16,,0.06,,,,,,0.06
2020-12-20,0.06,,,,0.09,0.99,,1.14
2020-12-21,0.06,0.06,,,0.18,,,0.3
2020-12-22,0.06,,,,,0.4799999999999999,,0.5399999999999999
2020-12-23,0.09,,,,0.09,0.14,,0.32
2020-12-26,,,,,0.15,0.16999999999999998,,0.31999999999999995
2020-12-28,,,0.09,,0.06,,,0.15
2020-12-29,,,,0.09,,0.06,,0.15
2020-12-30,0.12,0.06,0.12,0.51,0.09,0.18,,1.08
2020-12-31,0.03,,,0.15,0.07,0.09,,0.33999999999999997
2021-01-03,0.12,,,0.06,0.14,,,0.32
2021-01-04,0.18,0.36,0.18,0.18,0.28,1.06,0.29,2.5300000000000002
2021-01-05,0.06,0.09,,0.15,0.1,0.52,,0.92
2021-01-06,0.06,,0.12,,,,,0.18
2021-01-07,,,0.09,0.21,0.14,0.9,0.23,1.57
2021-01-08,0.09,0.39,0.36,0.24,0.5700000000000001,1.55,0.53,3.7300000000000004
2021-01-09,,0.15,0.15,0.06,0.69,0.57,,1.6199999999999997
2021-01-10,0.09,,,0.09,,0.74,,0.9199999999999999
2021-01-11,,,0.09,,0.06,,,0.15
2021-01-12,0.06,0.24,0.09,0.09,0.43,2.14,1.15,4.199999999999999
2021-01-13,0.06,,,,,,,0.06
2021-01-14,,,,,,0.29,0.56,0.8500000000000001
2021-01-15,0.12,0.18,0.06,0.27,0.5800000000000001,0.23,,1.44
2021-01-16,0.15,0.06,0.12,0.12,0.2,0.27,,0.9199999999999999
2021-01-17,0.09,0.24,0.12,0.18,1.36,1.68,0.58,4.25
2021-01-18,,0.06,0.09,,1.2000000000000002,1.6800000000000002,,3.0300000000000002
2021-01-19,,,0.09,0.13,0.17,1.21,1.83,3.43
2021-01-20,0.27,0.15,0.36,0.49,2.16,1.78,,5.21
2021-01-21,0.15,,0.15,0.17,0.77,0.33,,1.57
2021-01-22,,0.12,,0.12,0.15,0.66,,1.05
2021-01-23,0.06,0.09,0.09,,,0.38,,0.62
2021-01-24,,0.12,0.09,0.09,0.4300000000000001,0.64,,1.37
2021-01-25,,,,0.06,0.06,,,0.12
2021-01-26,0.06,0.09,0.07,,,0.13,,0.35
2021-01-27,,,0.09,,0.1,,,0.19
2021-01-28,,,0.1,0.12,0.13,0.14,,0.49
2021-01-29,,0.09,0.09,0.23,0.22,3.18,,3.81
2021-01-30,,0.12,0.09,0.23,0.42,1.17,,2.03
2021-01-31,0.09,0.12,0.12,0.15,0.11,0.31999999999999995,,0.9099999999999999
2021-02-01,,0.09,0.24,,0.5499999999999999,1.77,,2.65
2021-02-02,0.12,0.19,0.18,0.2,0.13,0.78,0.48,2.08
2021-02-03,,,,0.39,0.18,,,0.5700000000000001
2021-02-04,0.15,0.09,0.09,0.6000000000000001,,0.12,,1.05
2021-02-05,0.15,,,0.08,0.1,0.14,,0.47
2021-02-06,0.04,0.04,0.18,0.06,0.19,0.17,,0.68
2021-02-07,,,,0.06,0.67,0.06,0.06,0.8500000000000001
2021-02-08,0.06,0.24,0.21,,0.44,0.54,0.03,1.52
2021-02-09,0.12,,,0.09,0.27,3.91,0.04,4.430000000000001
2021-02-10,0.12,,0.09,0.06,,0.03,,0.30000000000000004
2021-02-11,,,,,,0.09,,0.09
