date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,1092140_Compiled_0.csv
2020-01-28,0.06,,,,,,0.06
2020-02-03,0.05,,,,,,0.05
2020-02-25,0.07,,,,,,0.07
2020-03-13,0.03,,,,,,0.03
2020-04-05,0.83,,,,,,0.83
2020-06-28,0.12,,,,,,0.12
2020-07-16,,0.17,,,,,0.17
2020-07-21,,,0.08,,,,0.08
2020-07-24,0.11,,,,,,0.11
2020-07-27,,0.03,,,,,0.03
2020-08-05,,0.22,0.57,0.26,,,1.0499999999999998
2020-08-08,0.27,,,0.03,,,0.30000000000000004
2020-08-19,,0.07,,,,,0.07
2020-08-23,,,0.03,,,,0.03
2020-09-05,0.04,,,,,,0.04
2020-09-18,0.22,,,,,,0.22
2020-09-21,0.06,0.03,,,,,0.09
2020-09-23,,,0.03,,,,0.03
2020-10-10,0.3,,,0.05,0.03,,0.38
2020-10-11,,,,,0.03,,0.03
2020-10-12,0.24,,,,,,0.24
2020-10-13,0.93,,,,,,0.93
2020-10-18,0.72,,0.30000000000000004,,,,1.02
2020-10-22,,,0.03,,,,0.03
2020-10-24,,,,,0.08,,0.08
2020-10-25,,0.03,,,,,0.03
2020-10-27,,,,0.62,,,0.62
2020-10-29,0.15,,,,,,0.15
2020-10-30,0.45,,,,,,0.45
2020-10-31,0.48,,0.13,,,,0.61
2020-11-02,,,0.35,,,,0.35
2020-11-04,,,,,0.03,,0.03
2020-11-05,,,0.03,,,,0.03
2020-11-07,,0.12,,,,,0.12
2020-11-08,0.11,,,,,,0.11
2020-11-09,0.03,,,,,,0.03
2020-11-10,,,0.06,,,,0.06
2020-11-23,0.09,,,,,,0.09
2020-11-27,0.18,,,,,,0.18
2020-11-28,0.13,0.06,,,,,0.19
2020-11-29,0.96,,0.03,,,,0.99
2020-11-30,2.46,0.03,0.08,,,,2.57
2020-12-01,0.36,0.06,,,,,0.42
2020-12-02,0.32,0.33,0.11,,,,0.76
2020-12-03,0.42,,0.09,,0.03,,0.54
2020-12-04,0.72,,,,,,0.72
2020-12-05,0.39,,,0.03,,,0.42000000000000004
2020-12-06,0.47,0.06,0.16,,,,0.6900000000000001
2020-12-07,0.29000000000000004,0.12,0.3,0.06,0.07,,0.8400000000000001
2020-12-08,0.15,0.06,0.03,0.09,0.14,,0.47
2020-12-10,0.57,0.03,,,,,0.6
