date,0.txt,1.txt,2.txt,3.txt,4.txt,1125060_Compiled_0.csv
07-10-2019,3.66,1.44,0.86,1.15,1.55,8.66
08-10-2019,1.6,0.5,,0.26,0.63,2.99
12-10-2019,1.47,,0.47,0.96,,2.9
17-10-2019,,,,0.33,,0.33
21-10-2019,,,,0.34,0.98,1.32
24-10-2019,0.33,,0.14,,,0.47
27-10-2019,0.66,0.14,0.13,,0.93,1.86
28-10-2019,,,0.13,0.14,,0.27
29-10-2019,0.27,,,,,0.27
30-10-2019,0.36,0.18,0.2,0.22,0.34,1.3
31-10-2019,0.2,,,,,0.2
01-11-2019,,0.08,,0.05,,0.13
03-11-2019,0.05,,,,,0.05
05-11-2019,0.71,1.04,0.55,0.2,0.8,3.3
06-11-2019,0.64,0.13,0.13,0.13,0.13,1.16
11-11-2019,,,,0.78,0.78,1.56
14-11-2019,0.64,,,,,0.64
15-11-2019,0.77,,,,,0.77
23-11-2019,,0.07,,,,0.07
25-11-2019,0.53,,,,,0.53
26-11-2019,,0.32,,,,0.32
27-11-2019,0.33,,0.13,0.2,0.33,0.99
29-11-2019,,,,,0.66,0.66
02-12-2019,0.13,,,,0.33,0.46
03-12-2019,1.14,0.35,0.22,0.2,,1.91
11-12-2019,0.32,,,,,0.32
12-12-2019,,,,,0.14,0.14
13-12-2019,0.33,0.13,,0.13,0.05,0.64
14-12-2019,0.67,,,,0.14,0.81
21-12-2019,,,0.07,,,0.07
31-12-2019,,,,0.34,,0.34
03-01-2020,0.69,,,,,0.69
05-01-2020,,0.07,0.07,,,0.14
06-01-2020,,0.03,,,,0.03
11-01-2020,3.11,,0.08,,,3.19
19-01-2020,0.07,,,,,0.07
13-02-2020,,,0.13,,,0.13
25-02-2020,,0.19,,,,0.19
29-02-2020,0.3,0.31,0.12,0.31,0.12,1.16
15-03-2020,,,0.3,0.77,,1.07
18-03-2020,,,0.29,,,0.29
19-03-2020,3.69,,,,,3.69
04-04-2020,2.56,,,,,2.56
05-04-2020,,,,,0.11,0.11
07-04-2020,,0.57,0.46,0.62,0.26,1.91
09-04-2020,,0.53,,,,0.53
27-04-2020,1.01,,,,,1.01
02-05-2020,3.7,4.24,,2.7,3.7,14.34
09-05-2020,,,,,2.26,2.26
24-05-2020,,,,0.18,0.32,0.5
27-05-2020,0.36,,,,,0.36
30-05-2020,1.52,,,,,1.52
31-05-2020,,,,0.55,0.55,1.1
09-06-2020,1.5,,,,,1.5
19-06-2020,,,1.06,,,1.06
30-06-2020,,0.28,,,,0.28
07-07-2020,1.44,,,1.53,,2.97
08-07-2020,1.69,,,,,1.69
11-07-2020,,,,,1.66,1.66
13-07-2020,2.86,,,,,2.86
14-07-2020,,0.58,,,,0.58
22-07-2020,,0.74,,,,0.74
24-07-2020,,1.06,,,,1.06
28-07-2020,,,,,1.33,1.33
31-07-2020,0.19,,,,,0.19
03-08-2020,,0.57,,,,0.57
07-08-2020,,,1.59,,,1.59
08-08-2020,1.37,,,,,1.37
10-08-2020,,,,1.64,1.16,2.8
17-08-2020,0.36,0.36,,,,0.72
19-08-2020,0.56,,,,,0.56
04-09-2020,1.18,,,,,1.18
10-09-2020,,,,0.36,0.36,0.72
16-09-2020,0.22,,,,,0.22
19-09-2020,0.28,,,,,0.28
27-09-2020,0.2,,,,0.19,0.39
01-10-2020,2.57,,,1.3,,3.87
02-10-2020,1.04,0.36,0.45,1.38,1.33,4.56
03-10-2020,,,,,0.2,0.2
09-10-2020,0.2,,0.14,,0.18,0.52
06-11-2020,1.72,1.22,1.82,1.34,1.5,7.6
23-11-2020,,0.54,,,,0.54
25-11-2020,,,0.5,,,0.5
01-12-2020,1.88,,,,,1.88
08-12-2020,0.18,,0.11,0.49,0.32,1.1
10-12-2020,1.08,,,0.42,0.18,1.68
18-12-2020,0.57,,,,,0.57
26-12-2020,1.72,,,,,1.72
29-12-2020,0.66,,,,,0.66
30-12-2020,0.72,,,,0.38,1.1
01-01-2021,0.86,,,,,0.86
04-01-2021,5.17,,,,,5.17
06-01-2021,2.09,0.19,0.19,0.32,0.39,3.18
16-01-2021,1.16,,,,,1.16
17-01-2021,,,,,0.38,0.38
20-01-2021,0.58,,,,,0.58
25-01-2021,1.66,,,,,1.66
29-01-2021,,,0.32,,,0.32
06-02-2021,0.19,,,,0.13,0.32
10-02-2021,0.33,,,,,0.33
12-02-2021,,,,0.31,0.26,0.57
15-02-2021,0.48,,,,,0.48
03-03-2021,0.51,,,,,0.51
04-03-2021,0.17,,,,,0.17
16-03-2021,0.38,,,,0.22,0.6
17-03-2021,,0.06,,,,0.06
29-03-2021,0.16,0.13,0.12,,0.14,0.55
