date,0.txt,1.txt,1156670_Compiled_0.csv
2019-11-04,0.03,,0.03
2019-11-16,2.17,,2.17
2019-11-18,0.09,,0.09
2019-11-20,,0.57,0.57
2019-11-22,1.06,,1.06
2019-11-23,2.36,,2.36
2019-11-29,0.45,,0.45
2019-11-30,,0.17,0.17
2019-12-01,0.53,,0.53
2019-12-02,0.06,,0.06
2019-12-03,0.05,,0.05
2019-12-04,0.04,,0.04
2019-12-05,0.72,0.12,0.84
2019-12-06,0.04,0.12,0.16
2019-12-11,,0.14,0.14
2019-12-14,0.07,,0.07
2019-12-18,0.03,0.07,0.1
2019-12-19,0.16,0.07,0.23
2019-12-23,0.1,,0.1
2019-12-29,0.08,0.08,0.16
2020-01-02,0.07,0.12,0.19
2020-01-03,0.09,0.13,0.22
2020-01-08,0.42,,0.42
2020-01-11,,0.19,0.19
2020-01-12,0.19,,0.19
2020-01-13,0.15,,0.15
2020-01-14,0.1,0.21,0.31
2020-01-16,0.62,,0.62
2020-01-18,0.78,,0.78
2020-01-22,0.2,,0.2
2020-01-24,0.14,,0.14
2020-01-25,,3.03,3.03
2020-01-29,0.11,,0.11
2020-01-31,0.16,,0.16
2020-02-01,0.25,,0.25
2020-02-03,0.27,,0.27
2020-02-12,0.23,,0.23
2020-02-22,,0.15,0.15
2020-02-23,0.12,,0.12
2020-02-25,2.1,,2.1
2020-03-01,0.3,,0.3
2020-03-05,0.11,0.57,0.6799999999999999
2020-03-06,0.14,0.3,0.44
2020-03-10,0.24,,0.24
2020-03-12,0.1,0.3,0.4
2020-03-13,0.13,,0.13
2020-03-14,0.03,0.3,0.32999999999999996
2020-03-16,0.44,,0.44
2020-03-19,,0.06,0.06
2020-03-20,0.09,0.2,0.29000000000000004
2020-03-29,0.68,,0.68
2020-03-30,0.31,,0.31
2020-04-04,0.08,0.09,0.16999999999999998
2020-04-05,0.08,,0.08
2020-04-08,0.03,0.1,0.13
2020-04-10,0.07,0.3,0.37
2020-04-12,0.03,0.29,0.31999999999999995
2020-04-19,0.03,0.11,0.14
2020-04-20,0.07,0.06,0.13
2020-04-24,0.03,0.03,0.06
2020-04-25,0.06,0.06,0.12
2020-05-01,8.36,,8.36
2020-05-04,0.17,,0.17
2020-05-10,,0.23,0.23
2020-05-13,2.23,,2.23
2020-05-17,0.66,,0.66
2020-05-20,0.1,0.12,0.22
2020-05-25,,0.68,0.68
2020-06-02,0.1,0.16,0.26
2020-06-03,0.6,,0.6
2020-06-08,,1.66,1.66
2020-06-09,0.15,0.26,0.41000000000000003
2020-06-11,0.04,0.26,0.3
2020-06-16,0.54,,0.54
2020-06-17,0.79,,0.79
2020-06-19,0.04,0.08,0.12
2020-06-20,,0.2,0.2
2020-06-24,0.14,0.25,0.39
2020-06-30,0.05,0.24,0.29
2020-07-05,0.84,,0.84
2020-07-06,0.7,,0.7
2020-07-07,,0.24,0.24
2020-08-01,0.06,0.25,0.31
2020-08-03,0.12,0.11,0.22999999999999998
2020-08-12,0.17,0.25,0.42000000000000004
2020-08-30,0.04,0.16,0.2
2020-09-08,0.04,0.14,0.18000000000000002
2020-09-24,0.52,,0.52
2020-10-14,1.14,,1.14
2020-10-21,1.16,,1.16
2020-10-28,1.17,,1.17
2020-10-29,0.68,0.24,0.92
2020-11-10,0.59,,0.59
2020-11-11,0.34,,0.34
2020-11-13,1.21,,1.21
2020-11-18,0.86,,0.86
2020-11-22,0.1,0.14,0.24000000000000002
2020-11-25,0.18,,0.18
2020-12-08,,0.16,0.16
2020-12-19,0.08,0.15,0.22999999999999998
2020-12-21,0.06,0.17,0.23
2020-12-22,0.75,,0.75
2021-01-02,0.04,0.19,0.23
2021-01-04,0.06,0.22,0.28
2021-01-11,0.09,0.03,0.12
2021-01-14,0.16,0.24,0.4
2021-02-02,,0.22,0.22
2021-02-07,1.27,,1.27
2021-02-09,0.18,0.45,0.63
2021-02-17,0.18,0.1,0.28
2021-02-26,0.18,0.28,0.46
2021-03-03,0.33,,0.33
2021-03-11,0.07,0.54,0.6100000000000001
2021-04-03,5.12,0.56,5.68
