date,0.txt,1157780_Compiled_0.csv
30-09-2019,0.19,0.19
01-10-2019,1.26,1.26
07-10-2019,0.66,0.66
23-10-2019,0.08,0.08
01-11-2019,0.33,0.33
20-11-2019,6.57,6.57
02-12-2019,0.92,0.92
12-12-2019,0.65,0.65
16-12-2019,1.34,1.34
29-12-2019,0.25,0.25
24-01-2020,0.12,0.12
10-02-2020,0.64,0.64
23-02-2020,3.85,3.85
24-02-2020,2.88,2.88
26-02-2020,2.86,2.86
02-04-2020,0.11,0.11
05-04-2020,1.23,1.23
15-04-2020,0.1,0.1
10-05-2020,0.26,0.26
14-07-2020,0.29,0.29
28-07-2020,0.53,0.53
10-08-2020,0.37,0.37
24-09-2020,0.09,0.09
01-12-2020,0.31,0.31
26-12-2020,0.14,0.14
30-12-2020,0.06,0.06
08-01-2021,0.13,0.13
02-02-2021,0.32,0.32
18-03-2021,0.22,0.22
