date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt,1483160_Compiled_0.csv
2020-12-28,262.63,32.75,,58.39,3.55,111.18,184.77,38.96,69.04,134.83,896.1
2020-12-29,181.46,840.0,198.21,127.97,355.02,386.96,337.78,316.47,284.48,295.95,3324.2999999999997
2020-12-30,740.92,474.82,587.79,255.07,240.0,424.35,174.23,479.83,195.74,387.82,3960.57
2020-12-31,695.38,492.36,674.18,367.42,676.7,918.38,1437.28,474.81,172.04,420.3,6328.85
2021-01-01,433.59,409.7,306.66,463.48,287.16,494.13,745.91,335.0,1959.37,339.15,5774.15
2021-01-02,518.81,297.82,170.13,190.12,218.57,216.16,275.1,79.1,105.48,259.65,2330.94
2021-01-03,30.22,60.46,77.21,690.98,750.52,70.85,127.76,177.23,56.12,47.11,2088.46
2021-01-04,273.98,697.29,179.57,193.73,187.46,279.19,227.18,312.28,136.19,261.49,2748.3599999999997
2021-01-05,199.11,205.15,149.14,86.45,73.92,405.19,148.3,292.51,225.52,519.33,2304.62
2021-01-06,215.49,133.93,150.61,1295.98,146.43,208.98,85.22,179.09,134.35,1006.75,3556.8300000000004
2021-01-07,0.15,21.85,25.76,31.45,1.2,0.24,,52.32,1.21,0.24,134.42000000000002
2021-01-08,32.02,504.67,2.39,205.34,19.71,10.99,36.8,74.03,89.84,14.29,990.08
2021-01-09,67.34,788.99,349.0,287.24,111.56,487.36,424.58,141.21,60.68,68.68,2786.64
2021-01-10,61.16,286.65,299.66,298.12,764.18,165.6,101.24,170.16,127.67,149.85,2424.2899999999995
2021-01-11,45.58,135.63,229.88,378.61,17.42,124.41,384.52,123.61,29.7,154.04,1623.4
2021-01-12,370.41,255.1,229.56,332.14,748.96,252.85,176.9,50.85,197.02,370.21,2984.0
2021-01-14,9.72,64.77,34.88,8.36,237.54,50.09,130.57,313.85,119.9,178.61,1148.29
2021-01-15,458.26,182.9,253.46,394.43,74.3,275.83,63.46,568.62,294.86,379.0,2945.1200000000003
2021-01-16,1247.73,131.65,28.8,55.42,0.87,8.03,6.42,119.41,29.39,104.45,1732.1700000000003
2021-01-17,474.63,756.46,190.66,309.69,219.66,294.09,261.21,294.12,119.33,775.23,3695.08
2021-01-18,0.12,5.14,,,,,,0.06,,,5.319999999999999
2021-01-19,773.11,71.16,166.2,785.93,537.28,245.25,118.37,2357.83,322.45,306.1,5683.679999999999
2021-01-20,63.73,697.15,313.19,22.26,77.73,496.75,24.96,158.92,33.02,85.18,1972.89
2021-01-21,0.09,5.96,1.54,8.53,12.44,,3.65,1.49,,,33.7
2021-01-22,0.03,14.08,0.27,0.33,1.5,0.12,0.24,0.34,0.39,0.53,17.830000000000002
2021-01-23,16.27,71.25,19.46,15.65,20.96,137.44,54.97,163.88,66.57,283.96,850.4100000000001
2021-01-24,104.09,149.29,192.64,28.21,10.43,21.94,37.54,188.63,156.01,179.41,1068.19
2021-01-25,104.23,158.35,42.95,93.2,23.46,69.24,44.37,47.91,114.68,56.98,755.3700000000001
2021-01-26,19.54,,,0.11,,,,,0.09,0.09,19.83
