date,dailyTotal_0,dailyTotal_1,dailyTotal_2,225600_Compiled_0.csv
2018-11-05,0.17,,,0.17
2018-11-11,0.24,,,0.24
2018-11-18,0.03,,,0.03
2018-11-19,0.12,,,0.12
2018-11-20,0.15,,,0.15
2018-11-23,0.07,,,0.07
2018-11-27,0.09,,,0.09
2018-11-29,0.48,,,0.48
2018-12-04,0.06,,,0.06
2018-12-16,0.44,,,0.44
2018-12-20,0.05,,,0.05
2018-12-22,,0.84,,0.84
2018-12-24,0.39,,,0.39
2018-12-25,0.45,1.09,,1.54
2018-12-27,,0.36,,0.36
2018-12-28,,,0.25,0.25
2018-12-29,0.28,0.58,0.98,1.8399999999999999
2018-12-30,,0.11,,0.11
2019-01-01,,0.28,0.16,0.44000000000000006
2019-01-05,,0.35,,0.35
2019-01-07,,0.39,,0.39
2019-01-08,,0.16,,0.16
2019-01-10,,0.08,,0.08
2019-01-11,,0.21,,0.21
2019-01-12,,0.24,1.48,1.72
2019-01-13,,0.06,0.03,0.09
2019-01-14,,0.14,0.1,0.24000000000000002
2019-01-17,,0.36000000000000004,0.19,0.55
2019-01-18,,0.03,,0.03
2019-01-19,,0.22000000000000006,0.19,0.41000000000000003
2019-01-21,,0.4,,0.4
2019-01-22,,0.09,,0.09
2019-01-24,0.07,0.24,2.92,3.23
2019-01-25,0.11,,,0.11
2019-01-26,0.12,0.48,0.29,0.8899999999999999
2019-01-27,0.05,0.16,,0.21000000000000002
2019-01-28,0.13,,,0.13
2019-02-01,,0.2,,0.2
2019-02-02,,,0.08,0.08
2019-02-04,0.1,0.18,,0.28
2019-02-05,,0.31,,0.31
2019-02-06,,0.2,,0.2
2019-02-07,0.18,0.06,0.03,0.27
2019-02-08,,0.18,,0.18
2019-02-09,0.16,0.12,,0.28
2019-02-10,,0.54,0.14,0.68
2019-02-12,,0.37,1.4300000000000002,1.8000000000000003
2019-02-17,,0.12,,0.12
2019-02-19,0.08,,,0.08
2019-02-20,,0.19,0.03,0.22
2019-02-21,,0.03,,0.03
2019-02-23,,0.1,,0.1
2019-02-24,0.42,0.62,,1.04
2019-02-25,0.21,1.11,,1.32
2019-02-26,,0.18,0.56,0.74
2019-02-27,1.2000000000000002,1.36,4.72,7.28
2019-02-28,0.21,,,0.21
2019-03-01,0.06,,,0.06
2019-03-02,,,0.36,0.36
2019-03-06,0.04,,,0.04
2019-03-07,0.12,0.31,,0.43
2019-03-08,1.06,1.6599999999999997,1.83,4.55
2019-03-09,1.27,2.49,0.78,4.54
2019-03-10,1.95,3.3,3.78,9.03
2019-03-11,3.03,1.7599999999999998,1.34,6.129999999999999
2019-03-12,3.18,1.91,0.68,5.77
2019-03-13,0.27,2.39,0.85,3.5100000000000002
2019-03-14,1.83,1.83,2.73,6.390000000000001
2019-03-15,0.27,1.24,0.64,2.15
2019-03-16,1.52,0.6900000000000001,0.6799999999999999,2.8899999999999997
2019-03-17,1.3099999999999998,1.58,0.75,3.6399999999999997
2019-03-18,0.18,0.75,1.2800000000000002,2.21
2019-03-19,0.15,0.45,0.09,0.69
2019-03-20,,0.6799999999999999,0.49,1.17
2019-03-21,0.12,0.06,,0.18
2019-03-22,2.04,0.18,0.12,2.3400000000000003
2019-03-23,0.27,0.55,1.5500000000000005,2.3700000000000006
2019-03-24,0.09,0.75,0.16,1.0
2019-03-25,0.18,0.09,0.03,0.30000000000000004
2019-03-26,3.57,0.18,0.18,3.93
2019-03-27,0.15,0.18,1.11,1.44
2019-03-28,0.18,0.6900000000000001,0.6599999999999999,1.53
2019-03-29,0.12,0.06,0.38,0.56
2019-03-30,0.12,0.11,0.12,0.35
2019-03-31,0.06,0.35000000000000003,0.25,0.66
2019-04-01,,,0.12,0.12
2019-04-02,,,0.12,0.12
2019-04-04,0.15,0.33,0.16,0.64
2019-04-05,,0.06,0.2,0.26
2019-04-06,0.24,0.45,0.76,1.45
2019-04-07,0.21,0.26,0.13,0.6
2019-04-08,,0.33,,0.33
2019-04-09,0.21,,,0.21
2019-04-10,0.09,0.09,,0.18
2019-04-11,0.33,0.06,,0.39
2019-04-12,,0.12,,0.12
2019-04-13,0.54,0.12,0.06,0.72
2019-04-14,0.15,0.46,0.66,1.27
2019-04-15,0.12,0.15,0.13,0.4
