date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,dailyTotal_5,dailyTotal_6,dailyTotal_7,dailyTotal_8,227300_Compiled_0.csv
2017-08-31,5.51,,6.77,,,,16.509999999999998,9.95,,38.739999999999995
2017-09-01,33.88,9.86,19.94,,,14.93,60.72,104.85,31.44,275.62
2017-09-02,39.44,12.34,24.83,,,,79.56,136.6,89.84,382.61
2017-09-03,32.19,7.51,18.26,,,18.4,62.91,113.21,84.33,336.81
2017-09-04,24.15,7.8,16.83,,,,48.76000000000001,94.71,62.69,254.94
2017-09-05,29.95,7.4,17.34,,,,53.14999999999999,100.39,68.9,277.13
2017-09-06,24.49,6.86,12.9,,,,44.98,88.34,48.3,225.87
2017-09-07,21.05,6.16,10.86,,,,38.91,86.66,34.77,198.41
2017-09-08,20.48,6.07,7.42,,,,36.44,71.63,36.4,178.44
2017-09-09,27.01,10.35,10.88,,,,71.7,95.83,32.02,247.79000000000002
2017-09-10,30.06,12.45,10.39,,,26.46,70.39999999999998,140.77,69.97,360.5
2017-09-11,19.95,5.54,7.12,,,,42.62,95.47,43.16,213.85999999999999
2017-09-12,14.69,5.83,9.06,,,,25.590000000000003,52.66,27.98,135.81
2017-09-13,19.86,6.01,6.91,,,,33.06,61.25,21.49,148.58
2017-09-14,14.6,5.04,3.97,,,,27.52,44.15,24.71,119.99000000000001
2017-09-15,14.1,6.91,4.76,,,,30.64,51.25,16.52,124.17999999999999
2017-09-16,16.97,5.24,8.74,,,,31.57,52.39,27.46,142.37
2017-09-17,21.94,6.17,10.08,,,,43.95,77.47999999999998,25.05,184.67
2017-09-18,12.9,4.93,4.58,,,,30.59,41.17,25.76,119.93
2017-09-19,11.23,4.01,6.92,,,,29.15,44.13,16.37,111.81
2017-09-20,13.95,5.28,6.12,,,,29.98,47.33,13.83,116.49
2017-09-21,12.04,4.68,7.51,,,4.0,33.580000000000005,65.16,32.92,159.89
2017-09-22,12.78,4.26,4.49,,,,33.39,51.08,35.01,141.01
2017-09-23,17.380000000000006,6.98,6.61,,,,32.529999999999994,56.98,21.17,141.64999999999998
2017-09-24,29.64,8.51,9.88,,,23.13,46.62,81.45,23.35,222.57999999999998
2017-09-25,15.87,2.85,13.12,,,,35.17,81.1,21.33,169.44
2017-09-26,11.59,2.11,6.72,,,,22.39,45.76000000000001,26.82,115.39000000000001
2017-09-27,11.13,4.3,5.12,,,,20.65,26.42,3.9,71.52000000000001
2017-09-28,11.36,1.84,2.93,,,,26.33,41.47,26.73,110.66
2017-09-29,12.87,3.82,5.93,,,,29.0,54.01,20.55,126.17999999999999
2017-09-30,21.63,6.18,8.03,,,,46.52,86.16,46.25,214.77
2017-10-01,23.89,7.01,7.18,,,,29.68,59.71,25.42,152.89
2017-10-02,9.59,4.37,5.82,,,,21.730000000000004,41.12000000000001,19.55,102.18000000000002
2017-10-03,8.73,1.67,2.84,,,,17.31,25.83,21.57,77.95
2017-10-04,7.1000000000000005,2.56,1.94,,,,10.57,15.54,5.52,43.230000000000004
2017-10-05,8.88,1.13,1.86,,,,8.88,17.490000000000002,5.42,43.66000000000001
2017-10-06,9.57,0.34,3.17,,,,8.8,13.03,9.12,44.029999999999994
2017-10-07,8.33,1.91,3.16,,,,19.38,25.56,8.54,66.88
2017-10-08,8.14,0.67,1.22,,,,10.3,17.85,9.61,47.790000000000006
2017-10-09,6.0,1.32,2.69,,,,9.659999999999998,13.81,9.86,43.339999999999996
2017-10-10,4.5600000000000005,1.17,1.5,,,,8.23,11.43,6.15,33.04
2017-10-11,3.77,0.87,0.75,,,,8.45,5.66,4.5,24.0
2017-10-12,7.7799999999999985,1.33,2.25,,,,10.490000000000002,7.66,4.85,34.36
2017-10-13,8.280000000000001,0.81,3.13,,,,8.540000000000001,10.48,7.94,39.18000000000001
2017-10-14,10.35,2.24,2.92,,,,11.59,22.34,10.23,59.67
2017-10-15,7.69,0.77,2.83,,,,9.79,17.32,6.26,44.66
2017-10-16,9.89,1.69,1.48,,,,6.48,13.62,5.89,39.050000000000004
2017-10-17,4.67,0.31,0.63,,,,7.69,5.5,9.93,28.73
2017-10-18,4.17,1.14,2.31,,,,4.26,15.05,3.26,30.189999999999998
2017-10-19,3.96,1.64,2.0,,,,6.84,9.41,,23.85
2017-10-20,8.280000000000001,1.89,1.78,,,,5.25,15.65,11.98,44.83
2017-10-21,11.76,,1.29,,,,11.52,9.62,3.44,37.629999999999995
2017-10-22,6.67,1.25,2.29,,,,13.06,20.05,6.85,50.17
2017-10-23,4.23,0.3,1.66,,,,4.44,6.46,5.19,22.28
2017-10-24,5.960000000000001,0.57,2.01,,,29.57,3.55,8.26,3.03,52.949999999999996
