date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,230410_Compiled_0.csv
19-12-2013,,,828.74,163.02,,1070.5,,198.21,,2260.47
20-12-2013,,,1784.08,444.36,,3096.3,,746.47,,6071.21
21-12-2013,,,1227.6,321.21,,2165.33,,407.68,,4121.82
22-12-2013,,,1057.12,218.4,,1657.63,,584.5,,3517.65
23-12-2013,,,885.89,223.26,,1309.57,,580.77,,2999.49
24-12-2013,,,667.49,167.76,,901.92,,541.54,,2278.71
25-12-2013,,,440.13,136.25,,529.15,,287.18,,1392.71
26-12-2013,,,589.65,180.5,,631.68,,519.93,,1921.76
27-12-2013,,,457.97,182.37,,516.42,,585.34,,1742.1
28-12-2013,,,366.03,165.38,,393.43,,488.3,,1413.14
29-12-2013,,,328.54,132.05,,308.62,,421.15,,1190.36
30-12-2013,,,264.05,129.26,,242.8,,498.44,,1134.55
31-12-2013,,,227.81,117.04,,210.94,,416.97,,972.76
01-01-2014,,,240.08,134.31,,195.44,,492.92,,1062.75
02-01-2014,,,417.37,257.4,,325.95,,915.01,,1915.73
03-01-2014,,,251.89,212.14,,228.36,,578.34,,1270.73
04-01-2014,,,159.36,107.12,,139.53,,365.74,,771.75
05-01-2014,,,93.9,63.17,,89.91,,139.94,,386.92
06-01-2014,,,89.38,39.56,,94.56,,95.62,,319.12
07-01-2014,,,73.41,18.14,,65.84,,55.65,,213.04
08-01-2014,,,53.2,28.62,,58.1,,87.54,,227.46
09-01-2014,,,60.48,18.6,,106.43,,43.33,,228.84
10-01-2014,,,63.9,24.4,,65.51,,92.71,,246.52
11-01-2014,,,51.9,22.44,,61.22,,32.96,,168.52
12-01-2014,,,46.34,19.68,,53.81,,46.65,,166.48
13-01-2014,,,46.43,14.63,,64.64,,33.89,,159.59
14-01-2014,,,47.21,17.14,,66.06,,35.59,,166
15-01-2014,,,41.33,24.26,,59.7,,13.15,,138.44
16-01-2014,,,11.66,5.74,,19.07,,5.86,,42.33
17-01-2014,,,12.72,4.89,,18.98,,5.84,,42.43
18-01-2014,,,18.01,6.18,,28.56,,4.84,,57.59
19-01-2014,,,18.04,6.18,,26.28,,11.12,,61.62
20-01-2014,,,198.8,61.78,,269.12,,208.44,,738.14
21-01-2014,,,49.27,23.84,,67.7,,44.21,,185.02
22-01-2014,,,41.14,14.28,,57.32,,20.32,,133.06
23-01-2014,,,47.63,15.53,,46.63,,40.2,,149.99
24-01-2014,,,42.74,20.89,,58.67,,38.77,,161.07
25-01-2014,,,39.38,18.47,,54.9,,52.98,,165.73
26-01-2014,,,55.33,17.53,,64.73,,44.97,,182.56
27-01-2014,,,41.18,13.63,,40.77,,27.4,,122.98
28-01-2014,,,45.54,16.46,,57.23,,41.13,,160.36
29-01-2014,,,41.68,11.54,,46.49,,25.62,,125.33
30-01-2014,,,28.51,11.55,,36.92,,49.47,,126.45
31-01-2014,,,32.67,13.49,,43.31,,13.08,,102.55
01-02-2014,,,46.7,13.9,,53.35,,45.98,,159.93
02-02-2014,,,38.53,10.39,,59.38,,25.09,,133.39
03-02-2014,,,39.44,12.98,,45.63,,30.33,,128.38
04-02-2014,,,26.18,14.66,,37.79,,24.69,,103.32
05-02-2014,,,31.19,11.23,,38.15,,25.95,,106.52
06-02-2014,,,33.86,8.91,,47.76,,25.34,,115.87
07-02-2014,,,36.19,10.6,,48.83,,22.08,,117.7
08-02-2014,,,44.4,15.09,,65.08,,23.46,,148.03
09-02-2014,,,50.98,15.79,,75.54,,17.32,,159.63
10-02-2014,,,30.19,8.74,,59,,21.9,,119.83
11-02-2014,,,32.02,12.74,,57.98,,33.97,,136.71
12-02-2014,,,31.41,10.4,,53.7,,35.51,,131.02
13-02-2014,,,28.13,13.77,,49.4,,22.58,,113.88
14-02-2014,,,33.03,13.38,,59.06,,33.1,,138.57
15-02-2014,,,35.11,13.07,,56.03,,23.55,,127.76
16-02-2014,,,39.55,15.25,,62.27,,11.54,,128.61
17-02-2014,,,32.03,9.79,,64.92,,35.54,,142.28
18-02-2014,,,31.35,10.08,,48.67,,16.72,,106.82
19-02-2014,,,36.11,11.33,,58.85,,22.56,,128.85
20-02-2014,,,41.76,13.64,,68.39,,52.69,,176.48
21-02-2014,,,33.12,11.07,,58.07,,67.39,,169.65
22-02-2014,,,32.74,11.09,,57.54,,12.73,,114.1
23-02-2014,,,37.16,10.14,,70.76,,20.23,,138.29
24-02-2014,,,32.06,13.54,,52.4,,6.81,,104.81
25-02-2014,,,37.28,12.74,,51.67,,21.38,,123.07
26-02-2014,,,25.82,7.18,,45.04,,27.04,,105.08
27-02-2014,,,30.01,7.06,,49.6,,9.39,,96.06
28-02-2014,,,30.8,11.9,,53.59,,16.1,,112.39
01-03-2014,,,40.83,10.67,,56.64,,18.37,,126.51
02-03-2014,,,36.19,9.72,,73.82,,27.66,,147.39
03-03-2014,,,35.53,8.64,,57.57,,38.96,,140.7
04-03-2014,,,19.6,6.85,,47.99,,12.39,,86.83
05-03-2014,,,24.43,6.18,,39.67,,6.03,,76.31
06-03-2014,,,26.98,13.41,,39.82,,18.14,,98.35
07-03-2014,,,25.54,8.07,,59.46,,18.64,,111.71
08-03-2014,,,29.89,7.76,,55.44,,78.52,,171.61
09-03-2014,,,31.22,4.69,,50.36,,6.31,,92.58
10-03-2014,,,27.72,6.36,,53.57,,14.73,,102.38
11-03-2014,,,26.34,3.95,,53.27,,14.94,,98.5
12-03-2014,,,28.15,4.92,,55.06,,20.75,,108.88
13-03-2014,,,24.4,10.62,,51.74,,7.02,,93.78
14-03-2014,,,24.77,8.91,,54.44,,29.47,,117.59
15-03-2014,,,28.59,10.42,,67.67,,26.61,,133.29
16-03-2014,,,27.87,8.92,,55.18,,30.78,,122.75
17-03-2014,,,23.5,9.26,,51.04,,9.67,,93.47
18-03-2014,,,29.18,10.05,,52.5,,23.14,,114.87
19-03-2014,,,18.2,6.4,,47.26,,21.78,,93.64
20-03-2014,,,20.86,9.1,,39.71,,21.09,,90.76
21-03-2014,,,21.27,4.18,,38.71,,10,,74.16
22-03-2014,,,26.12,5.58,,48.71,,15.23,,95.64
23-03-2014,,,23.87,7.11,,41.33,,18.23,,90.54
24-03-2014,,,17.89,15.04,,35.16,,13.3,,81.39
25-03-2014,,,18.66,4.92,,27.5,,6.41,,57.49
26-03-2014,,,22.63,8.26,,38.56,,10.16,,79.61
27-03-2014,,,29.9,8.44,,48.5,,10.42,,97.26
28-03-2014,,,30,7.89,,48.97,,10.42,,97.28
29-03-2014,,,31.59,6.89,,51.15,,29.93,,119.56
30-03-2014,,,30.7,10.96,,58.41,,12.47,,112.54
31-03-2014,,,22.9,8.27,,52.51,,6.31,,89.99
01-04-2014,,,18.86,3.1,,34.67,,,,56.63
02-04-2014,,,28.07,3.74,,49.83,,11.09,,92.73
03-04-2014,,,24.2,8.59,,50.51,,6.04,,89.34
04-04-2014,,,25.64,8.77,,47.89,,5.9,,88.2
05-04-2014,,,35.44,11.78,,59.04,,26.72,,132.98
06-04-2014,,,30.06,8.27,,56.2,,4.84,,99.37
07-04-2014,,,33,7.83,,49.92,,16.88,,107.63
08-04-2014,,,28.03,7.61,,50.87,,15.7,,102.21
09-04-2014,,,24.52,7.45,,45.56,,21.98,,99.51
10-04-2014,,,29.95,8.37,,54.54,,12.64,,105.5
11-04-2014,,,34.35,8.99,,52.41,,6.28,,102.03
12-04-2014,,,43.52,9.15,,81.9,,28.4,,162.97
13-04-2014,,,42.69,14.01,,90.1,,6.38,,153.18
14-04-2014,,,33.18,8.24,,83.41,,,,124.83
15-04-2014,,,30.48,8.23,,72.2,,16.98,,127.89
16-04-2014,,,38.92,10.14,,85.54,,19.18,,153.78
17-04-2014,,,40.34,9.51,,82.43,,4.87,,137.15
18-04-2014,,,32,10.42,,87.55,,24.89,,154.86
19-04-2014,,,45.75,11.15,,94.68,,21.58,,173.16
20-04-2014,,,45.1,11.25,,106.59,,18.06,,181
21-04-2014,,,34.16,10.77,,87.31,,12.77,,145.01
22-04-2014,,,35.44,5.69,,66.72,,12.68,,120.53
23-04-2014,,,39.05,9.19,,77.03,,,,125.27
24-04-2014,,,30.36,6.52,,90.58,,5.8,,133.26
25-04-2014,,,31.35,18.27,,75.37,,17.66,,142.65
26-04-2014,,,38.66,8.27,,80.18,,22.91,,150.02
27-04-2014,,,35.9,10.72,,74.84,,4,,125.46
28-04-2014,,,26.6,7.09,,63.5,,12.49,,109.68
29-04-2014,,,30.29,11.02,,70.49,,18.88,,130.68
30-04-2014,,,35.78,10.86,,69.55,,6.61,,122.8
01-05-2014,,,42.09,7.93,,77.26,,19.98,,147.26
02-05-2014,,,34.21,6.59,,70.72,,19.04,,130.56
03-05-2014,,,35.68,9.87,,80.03,,30.49,,156.07
04-05-2014,,,47.95,7.56,,70.04,,17.56,,143.11
05-05-2014,,,34.86,8.15,,45.58,,19.35,,107.94
06-05-2014,,,39.33,11.63,,54.81,,13.43,,119.2
07-05-2014,,,29.85,9.27,,49.68,,45.4,,134.2
08-05-2014,,,41.18,6.53,,56.52,,13.46,,117.69
09-05-2014,,,36.6,7.26,,46.48,,,,90.34
10-05-2014,,,47.35,12.08,,61.98,,40.78,,162.19
11-05-2014,,,34.16,8.93,,49.72,,18.47,,111.28
