date,dailyTotal_0,dailyTotal_1,dailyTotal_2,dailyTotal_3,dailyTotal_4,253230_Compiled_0.csv
2019-05-11,4.37,1.79,1.26,0.94,0.32,8.68
2019-05-12,19.15,11.3,29.01,6.1800000000000015,0.75,66.39
2019-05-13,21.61,15.23,6.14,2.94,1.29,47.21
2019-05-14,13.85,7.13,10.07,3.82,0.64,35.51
2019-05-15,3.72,3.39,19.28,1.22,0.2,27.81
2019-05-16,9.62,5.5600000000000005,11.35,7.61,,34.14
2019-05-17,5.49,5.89,9.01,8.350000000000001,0.31,29.05
2019-05-18,10.06,6.46,14.92,6.94,0.12,38.49999999999999
2019-05-19,7.629999999999999,7.83,18.21,2.56,0.14,36.370000000000005
2019-05-20,5.1099999999999985,3.1100000000000003,5.49,2.97,0.21,16.89
2019-05-21,2.79,2.54,4.08,2.69,0.08,12.18
2019-05-22,3.2500000000000004,2.1,4.97,5.449999999999998,,15.77
2019-05-23,3.36,2.4300000000000006,5.38,7.46,0.28,18.910000000000004
2019-05-24,3.49,1.71,8.709999999999999,9.64,,23.55
2019-05-25,4.18,3.1,10.87,27.21,0.16,45.519999999999996
2019-05-26,4.17,1.97,9.62,8.4,0.11,24.269999999999996
2019-05-27,2.69,1.83,10.71,12.52,,27.75
2019-05-28,2.24,2.02,2.76,8.129999999999999,0.44,15.589999999999998
2019-05-29,2.37,1.51,9.68,13.38,,26.939999999999998
2019-05-30,3.47,2.1,10.41,6.409999999999998,,22.39
2019-05-31,3.25,1.65,8.950000000000003,5.120000000000001,0.22,19.190000000000005
2019-06-01,3.29,1.7299999999999998,3.390000000000001,19.78,0.15,28.34
2019-06-02,2.1,1.83,4.0,6.99,,14.92
2019-06-03,1.5,1.23,3.53,10.96,0.06,17.279999999999998
2019-06-04,2.19,1.91,4.19,11.53,0.13,19.95
2019-06-05,2.08,1.22,5.47,0.6100000000000001,,9.379999999999999
2019-06-06,1.01,1.46,4.0,0.27,,6.74
2019-06-07,1.4500000000000002,0.73,2.37,6.19,,10.740000000000002
2019-06-08,1.04,1.25,1.63,9.55,0.03,13.5
2019-06-09,0.86,0.56,1.57,1.03,,4.0200000000000005
2019-06-10,1.35,0.8200000000000001,2.44,2.29,,6.8999999999999995
2019-06-11,0.47,0.54,2.1300000000000003,0.31000000000000005,,3.4500000000000006
2019-06-12,1.06,1.19,2.04,10.93,,15.219999999999999
2019-06-13,0.54,0.99,0.86,5.02,,7.41
2019-06-14,0.09,1.59,1.21,,,2.89
2019-06-15,0.76,0.61,1.93,2.08,,5.38
2019-06-16,1.3199999999999998,0.88,3.83,0.43,,6.459999999999999
2019-06-17,1.2,1.29,3.77,1.17,,7.43
2019-06-18,0.7000000000000001,0.4900000000000001,0.8999999999999999,0.6699999999999999,,2.76
2019-06-19,0.7500000000000001,0.48,2.1,3.68,,7.01
2019-06-20,0.37,0.86,1.66,2.57,,5.459999999999999
2019-06-21,0.9200000000000002,1.23,3.26,6.2,0.09,11.7
2019-06-22,0.72,0.5099999999999999,1.95,15.14,,18.32
2019-06-23,0.61,0.62,1.4500000000000002,0.39,,3.0700000000000003
2019-06-24,0.6599999999999999,0.48,1.82,5.079999999999999,0.04,8.079999999999998
2019-06-25,0.91,0.86,2.61,2.06,0.05,6.489999999999999
2019-06-26,1.32,1.0699999999999998,1.74,26.03,,30.16
2019-06-27,1.6799999999999995,1.75,2.25,12.79,,18.47
2019-06-28,0.6100000000000001,0.7000000000000001,1.4,12.26,0.18,15.149999999999999
2019-06-29,0.7999999999999999,0.89,1.31,4.33,,7.33
2019-06-30,2.52,0.8200000000000001,1.23,3.17,,7.74
2019-07-01,1.3199999999999998,0.8499999999999999,2.8000000000000003,1.2900000000000005,,6.260000000000002
2019-07-02,1.94,1.28,2.32,2.8,,8.34
2019-07-03,0.91,0.82,1.42,1.38,,4.529999999999999
2019-07-04,0.86,0.7,1.24,1.6900000000000002,,4.49
2019-07-05,1.27,1.21,1.53,1.95,,5.96
2019-07-06,0.7200000000000001,0.8599999999999999,1.7600000000000002,5.71,,9.05
2019-07-07,1.42,1.34,1.6100000000000003,0.23,,4.6000000000000005
2019-07-08,1.91,1.14,2.4,2.74,,8.19
2019-07-09,0.9200000000000002,0.5800000000000001,1.39,11.01,,13.9
2019-07-10,0.45,0.5800000000000001,0.28,0.07,,1.3800000000000001
2019-07-11,0.66,0.5700000000000001,0.64,2.83,,4.7
2019-07-12,1.0,0.5599999999999999,1.77,3.18,,6.51
2019-07-13,0.38,0.71,1.25,0.75,,3.09
2019-07-14,0.42,0.39,1.03,0.2,,2.04
2019-07-15,0.6599999999999999,0.35,1.05,0.42,,2.4799999999999995
2019-07-16,0.8200000000000001,0.8300000000000001,0.77,8.479999999999999,,10.899999999999999
2019-07-17,0.39,0.71,0.77,2.3000000000000003,,4.17
2019-07-18,0.09,0.53,1.2500000000000002,0.04,,1.9100000000000001
2019-07-19,0.84,0.45,1.93,2.68,,5.9
2019-07-20,0.51,0.97,1.48,0.91,,3.87
