date,0.txt,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,264710_Compiled_0.csv
2015-05-14,,0.07,,,,,,,0.07
2015-07-04,,,,,4.67,,,,4.67
2015-07-05,,,,,24.47,,,,24.47
2015-07-07,,,,,26.13,,,,26.13
2015-07-09,,,,,21.51,,,,21.51
2015-08-03,,,,,69.76,,,,69.76
2015-08-15,,,,,,,31.88,,31.88
2015-08-16,,,,,69.97,,8.41,,78.38
2015-08-17,,,,,,,13.8,,13.8
2015-08-19,,,,,,,8.32,,8.32
2015-08-21,,,,,,,14.1,,14.1
2015-09-02,,,,,,,17.66,,17.66
2015-10-23,,,,,,,25.14,,25.14
2015-11-01,,,,,,,13.09,,13.09
2015-11-10,,,,,,,17.35,,17.35
2015-11-24,,,,,44.67,,,,44.67
2015-11-29,,,,,46.66,,,,46.66
2016-01-27,,,,,66.9,,,,66.9
2016-01-30,,,,,,,,0.92,0.92
2016-02-29,,,,,,,,20.28,20.28
2016-05-23,,,,,,,124.17,,124.17
2016-06-07,,47.43,,,111.52,,,,158.95
2016-06-12,,,,,,,,12.0,12.0
2016-06-14,,,,,,,7.21,,7.21
2016-06-18,,12.41,,,,,,,12.41
2016-06-30,,18.48,,,11.08,,,,29.560000000000002
2016-07-02,,,,,21.48,,31.74,26.45,79.67
2016-07-09,,,,,,52.98,,,52.98
2016-07-11,,,,,9.18,,,,9.18
2016-07-23,,,,,,,,26.49,26.49
2016-07-28,,,,52.98,,,,,52.98
2016-07-31,,70.03,,,,,,,70.03
2016-08-14,,,,,,,6.56,,6.56
2016-08-19,,,,,41.3,,,,41.3
2016-08-27,,60.13,,,,,,,60.13
2016-10-17,,,88.11,,,,,,88.11
2016-11-26,,16.04,,,,,,,16.04
2016-12-25,,47.15,,,,,,,47.15
2016-12-31,,,,,,,,137.96,137.96
2017-01-08,,,,,,7.81,,,7.81
2017-01-12,,,,,,,,139.04,139.04
2017-01-21,,20.9,,,,,,,20.9
2017-02-02,,,41.47,,,,,,41.47
2017-02-03,,,,,,,25.24,,25.24
2017-02-08,,,35.32,,,,15.35,,50.67
2017-02-15,,48.35,,,40.17,,,,88.52000000000001
2017-03-13,,,,,,,16.11,,16.11
2017-03-15,,,14.06,,,,,,14.06
2017-03-17,,,,,,,2.65,,2.65
2017-04-03,,,,,,,15.32,,15.32
2017-04-10,,,,,,14.24,,,14.24
2017-04-28,,,,,,,,144.2,144.2
2017-05-03,,,45.04,,,,,,45.04
2017-05-10,,,30.9,,,,,,30.9
2017-05-24,,,14.87,,,,5.57,,20.439999999999998
2017-05-29,,,33.11,,,,,,33.11
2017-06-29,,,28.26,,,,8.83,,37.09
2017-07-01,,,,,,,8.83,,8.83
2017-07-12,,,,,,22.08,,,22.08
2017-07-18,,,,,,,8.82,,8.82
2017-07-20,,,25.65,,,,,,25.65
2017-07-27,,,,,,,5.38,,5.38
2017-08-25,,,,,,,29.78,,29.78
2017-08-26,,,6.35,,,,,,6.35
2017-08-30,,,44.15,,,,,,44.15
2017-09-15,,,,,,,12.06,,12.06
2017-10-15,,,,,,9.11,,,9.11
2017-11-21,,,26.49,,,,,,26.49
2017-12-18,,22.38,,,,,,,22.38
2017-12-30,,,31.12,,,,,,31.12
2018-01-06,,,17.94,,,,,,17.94
2018-01-17,,,32.65,,,,18.53,,51.18
2018-01-19,,70.32,,51.83,,8.83,,,130.98
2018-01-20,,70.96,43.2,21.6,35.32,80.54,24.95,,276.57
2018-01-24,,,64.91,,,88.3,26.49,,179.7
2018-01-26,,,,100.94,,,,,100.94
2018-02-05,,,,44.15,,,,,44.15
2018-02-06,,,,,,,51.21,,51.21
2018-02-08,,,,,,,52.98,,52.98
2018-02-10,,,,,32.43,,,,32.43
2018-02-27,,,,30.71,,,,,30.71
2018-03-13,,,,,30.9,,,,30.9
2018-03-20,,,,48.56,,,,,48.56
2018-04-01,,,,42.23,,,,,42.23
2018-04-04,,41.21,,,,,,,41.21
2018-04-26,,,,,,19.21,,,19.21
2018-04-27,,,,,,10.07,,,10.07
2018-05-02,,,,,,,9.14,8.58,17.72
2018-05-11,,10.03,,,,,,,10.03
2018-06-09,,,,2.46,,,,,2.46
2018-06-20,,24.38,,,,,,,24.38
2018-07-14,,,30.31,,,,,,30.31
2018-07-25,,,,,,19.43,,,19.43
2018-07-30,,22.55,,,,,,,22.55
2018-08-04,,,,,,,29.95,,29.95
