date,1030430_Compiled_0.csv,1056330_Compiled_0.csv,1070330_Compiled_0.csv,1086410_Compiled_0.csv,1092140_Compiled_0.csv,1125060_Compiled_0.csv,1127450_Compiled_0.csv,1155580_Compiled_0.csv,1156670_Compiled_0.csv,1157780_Compiled_0.csv,1163690_Compiled_0.csv,1179010_Compiled_0.csv,1190990_Compiled_0.csv,1209140_Compiled_0.csv,1219480_Compiled_0.csv,1229730_Compiled_0.csv,1427640_Compiled_0.csv,1480930_Compiled_0.csv,1483160_Compiled_0.csv,1567030_Compiled_0.csv,218620_Compiled_0.csv,225600_Compiled_0.csv,227300_Compiled_0.csv,230410_Compiled_0.csv,232090_Compiled_0.csv,252490_Compiled_0.csv,253230_Compiled_0.csv,264710_Compiled_0.csv,304930_Compiled_0.csv,440_Compiled_0.csv,562430_Compiled_0.csv,570_Compiled_0.csv,730_Compiled_0.csv
2012-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11347.37,,,
2012-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37330.56,,,
2012-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26814.02,,,
2012-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26037.03,,420.49,
2012-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21804.87,,433.38,
2012-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16642.2,,288.4,
2012-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15483.0,,190.26,
2012-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13479.09,,708.02,
2012-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17591.33,,2963.58,
2012-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53681.5,,3627.7,
2012-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39875.79,,4302.34,
2012-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30309.21,,3812.18,
2012-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31038.97,,3589.8,
2012-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41195.09,,3355.64,
2012-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38669.4,,3132.84,
2012-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36362.71,,3040.17,
2012-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29121.39,,3027.11,
2012-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23851.46,,2590.08,
2012-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24625.27,,2327.17,
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24178.17,,2406.71,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19325.21,,2071.4,
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22218.83,,2177.05,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23743.22,,15303.58,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20051.01,,5929.5,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15659.26,,3774.51,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30263.91,,8862.55,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36709.13,,29558.67,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47689.75,,58788.96,
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55830.82,,24438.16,
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29706.53,,45694.66,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44556.42,,45526.5,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74360.54,,143761.26,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20396.54,,2475.35,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14695.92,,1863.11,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15175.57,,1674.86,
2013-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14169.21,,1153.11,
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11760.71,,1108.01,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17512.61,,1800.59,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21297.3,,1374.58,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18311.65,,1238.55,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16862.28,,788.77,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14335.64,,1042.26,
2013-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14489.38,,1290.93,
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13998.03,,918.49,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23454.01,,1208.9,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24443.08,,744.77,
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24059.19,,718.69,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18458.35,,904.52,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17733.41,,1458.96,
2013-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16004.98,,992.59,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18234.18,,1291.95,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20346.11,,2161.1,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37880.66,,1301.45,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25870.32,,8373.03,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20982.81,,4965.59,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16778.55,,4947.52,
2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28159.99,,8614.33,
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37412.07,,15526.71,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47259.98,,50412.36,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56619.42,,22820.59,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25973.96,,43948.06,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38763.59,,46494.3,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60932.75,,133173.5,
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18219.14,,2494.86,
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19047.51,,1315.39,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22875.58,,1739.1,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27680.73,,1543.95,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22652.42,,1291.32,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21255.07,,1146.6,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18791.51,,1466.13,
2013-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18778.08,,1047.46,
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19923.41,,1082.05,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20036.22,,2175.88,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25932.25,,2088.7,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21543.67,,1616.98,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17696.62,,1687.66,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16139.01,,1163.22,
2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16345.47,,3636.47,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16071.52,,8040.04,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18950.33,,2115.22,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27863.37,,1367.57,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26962.41,,8007.08,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21127.48,,4883.82,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20041.61,,4108.52,
2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24461.47,,9626.91,
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59913.25,,8447.99,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50680.44,,50269.78,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43383.35,,21327.95,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28568.99,,44881.75,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36210.32,,40721.27,
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57588.71,,123422.92,
2013-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29183.0,,5949.59,
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21713.31,,7815.9,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27146.54,,7730.15,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30727.99,,6135.67,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28758.37,,6433.34,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22109.1,,5546.25,
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20664.95,,5619.5,
2013-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21051.53,,10326.26,
